Course,Section,Time,Class Type,Location
STUDYING,n/a,10:00,n/a,"6005 University Blvd, Vancouver, BC"
103 Staff Meeting,n/a,12:00,n/a,"2366 Main Mall, Vancouver, BC"
LUNCH,n/a,12:30,n/a,"6133 University Blvd, Vancouver, BC"
CHEM 315,L12,14:00,Lab,"2036 Main Mall, Vancouver, BC"
103 Office Hours,n/a,18:00,n/a,"2366 Main Mall, Vancouver, BC"
HOME,n/a,20:00,n/a,"5960 Student Union Blvd, Vancouver, BC"
